2024-06-29 21:26:26 status installed libsepol1:amd64 2.8-1
2024-06-29 21:26:26 configure libattr1:amd64 1:2.4.48-4 <none>
2024-06-29 21:26:26 status unpacked libattr1:amd64 1:2.4.48-4
2024-06-29 21:26:26 status half-configured libattr1:amd64 1:2.4.48-4
2024-06-29 21:26:26 status installed libattr1:amd64 1:2.4.48-4
2024-06-29 21:26:26 configure libtasn1-6:amd64 4.13-3 <none>
2024-06-29 21:26:26 status unpacked libtasn1-6:amd64 4.13-3
2024-06-29 21:26:26 status half-configured libtasn1-6:amd64 4.13-3
2024-06-29 21:26:26 status installed libtasn1-6:amd64 4.13-3
2024-06-29 21:26:26 configure debianutils:amd64 4.8.6.1 <none>
2024-06-29 21:26:26 status unpacked debianutils:amd64 4.8.6.1
2024-06-29 21:26:26 status half-configured debianutils:amd64 4.8.6.1
2024-06-29 21:26:26 status installed debianutils:amd64 4.8.6.1
2024-06-29 21:26:26 configure mawk:amd64 1.3.3-17+b3 <none>
2024-06-29 21:26:26 status unpacked mawk:amd64 1.3.3-17+b3
2024-06-29 21:26:26 status half-configured mawk:amd64 1.3.3-17+b3
2024-06-29 21:26:26 status installed mawk:amd64 1.3.3-17+b3
2024-06-29 21:26:26 configure libdebconfclient0:amd64 0.249 <none>
2024-06-29 21:26:26 status unpacked libdebconfclient0:amd64 0.249
2024-06-29 21:26:26 status half-configured libdebconfclient0:amd64 0.249
2024-06-29 21:26:26 status installed libdebconfclient0:amd64 0.249
2024-06-29 21:26:26 configure base-files:amd64 10.3+deb10u13 <none>
2024-06-29 21:26:26 status unpacked base-files:amd64 10.3+deb10u13
2024-06-29 21:26:26 status half-configured base-files:amd64 10.3+deb10u13
2024-06-29 21:26:26 status installed base-files:amd64 10.3+deb10u13
2024-06-29 21:26:26 configure libbz2-1.0:amd64 1.0.6-9.2~deb10u1 <none>
2024-06-29 21:26:26 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2024-06-29 21:26:26 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2024-06-29 21:26:26 status installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2024-06-29 21:26:26 configure base-passwd:amd64 3.5.46 <none>
